﻿key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,stim_ins,size_insrx,size_insry,name,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,注视点1,试次呈现时间+注视点2,count,key_resp_T1.keys,key_resp_T1.corr,key_resp_T2.keys,key_resp_T2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialNumber,FlankerConditionT1,LocationT1,DirectionT1,LocationConditionT1,ImageT1,CorrectAnswerT1,PositionT1x,PositionT1y,anglefilpT1,ConditionT1,IntervalT1toT2,FlankerConditionT2,LocationT2,DirectionT2,LocationConditionT2,ImageT2,CorrectAnswerT2,PositionT2x,PositionT2y,anglefilpT2,ConditionT2,DurationFixation,TargetFilePath,key_resp_T1.rt,key_resp_T2.rt,注视点2,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,instr_p_t,block_type,cond,size_p_tx,size_p_ty
space,5.2063,0,0,0,0,1,Instructions/i1.png,1,0.4,dyl,1,2024-06-27_20h31.58.552,DCT_v1_online,2021.2.3,Win32,144.6131598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,29.2586,0,1,1,1,1,Instructions/i2.png,1.4,0.85,dyl,1,2024-06-27_20h31.58.552,DCT_v1_online,2021.2.3,Win32,144.6131598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.7689,0,2,2,2,1,Instructions/i3.png,1.2,0.85,dyl,1,2024-06-27_20h31.58.552,DCT_v1_online,2021.2.3,Win32,144.6131598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,dyl,1,2024-06-27_20h31.58.552,DCT_v1_online,2021.2.3,Win32,144.6131598,space,3.4668,0.238,2.112,1,,0,,0,0,0,0,2,1,17,congruent,up,down,incongruent,Stim/Acon.png,down,0,0.1,180,2,100,congruent,left,right,congruent,Stim/Acon.png,right,-0.1,0,-90,1,2000,stimuli\\,,,,,,,,,,,,,,,
,,,,,,,,,,dyl,1,2024-06-27_20h31.58.552,DCT_v1_online,2021.2.3,Win32,144.6131598,,,0.427,2.823,2,up,1,left,1,0,1,1,5,1,34,congruent,down,up,incongruent,Stim/Acon.png,up,0,-0.1,0,3,1000,incongruent,left,left,congruent,Stim/Aincon.png,left,-0.1,0,90,1,2000,stimuli\\,1.7236,0.9554,2.073,,,,,,,,,,,,
,,,,,,,,,,dyl,1,2024-06-27_20h31.58.552,DCT_v1_online,2021.2.3,Win32,144.6131598,,,0.418,2.832,3,up,1,right,1,0,2,2,9,1,66,incongruent,up,up,congruent,Stim/Aincon.png,up,0,0.1,0,5,1000,congruent,left,right,congruent,Stim/Acon.png,right,-0.1,0,-90,1,2000,stimuli\\,0.8076,0.5427,2.082,,,,,,,,,,,,
,,,,,,,,,,dyl,1,2024-06-27_20h31.58.552,DCT_v1_online,2021.2.3,Win32,144.6131598,,,0.045,2.305,4,up,1,right,1,0,3,3,0,1,1,congruent,up,up,congruent,Stim/Acon.png,up,0,0.1,0,1,100,congruent,left,right,congruent,Stim/Acon.png,right,-0.1,0,-90,1,2000,stimuli\\,0.7348,0.8472,2.455,,,,,,,,,,,,
,,,,,,,,,,dyl,1,2024-06-27_20h31.58.552,DCT_v1_online,2021.2.3,Win32,144.6131598,,,0.468,2.782,5,down,1,right,1,0,4,4,11,1,82,incongruent,up,down,incongruent,Stim/Aincon.png,down,0,0.1,180,6,1000,congruent,left,right,congruent,Stim/Acon.png,right,-0.1,0,-90,1,2000,stimuli\\,0.9495,0.677,2.032,,,,,,,,,,,,
,,,,,,,,,,dyl,1,2024-06-27_20h31.58.552,DCT_v1_online,2021.2.3,Win32,144.6131598,,,0.183,3.067,6,up,1,right,1,0,5,5,1,1,2,congruent,up,up,congruent,Stim/Acon.png,up,0,0.1,0,1,1000,congruent,left,right,congruent,Stim/Acon.png,right,-0.1,0,-90,1,2000,stimuli\\,0.7298,0.515,2.317,,,,,,,,,,,,
,,,,,,,,,,dyl,1,2024-06-27_20h31.58.552,DCT_v1_online,2021.2.3,Win32,144.6131598,,,0.492,1.858,7,up,1,right,1,0,6,6,8,1,65,incongruent,up,up,congruent,Stim/Aincon.png,up,0,0.1,0,5,100,congruent,left,right,congruent,Stim/Acon.png,right,-0.1,0,-90,1,2000,stimuli\\,0.8827,1.04,2.008,,,,,,,,,,,,
