﻿key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,stim_ins,size_insrx,size_insry,name,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,注视点1,试次呈现时间+注视点2,count,key_resp_T1.keys,key_resp_T1.corr,key_resp_T2.keys,key_resp_T2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialNumber,FlankerConditionT1,LocationT1,DirectionT1,LocationConditionT1,ImageT1,CorrectAnswerT1,PositionT1x,PositionT1y,anglefilpT1,ConditionT1,IntervalT1toT2,FlankerConditionT2,LocationT2,DirectionT2,LocationConditionT2,ImageT2,CorrectAnswerT2,PositionT2x,PositionT2y,anglefilpT2,ConditionT2,DurationFixation,TargetFilePath,key_resp_T1.rt,key_resp_T2.rt,注视点2,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,instr_p_t,block_type,cond,size_p_tx,size_p_ty
space,5.8247,0,0,0,0,1,Instructions/i1.png,1,0.4,ssf,1,2024-06-28_16h13.45.416,DCT_v1_online,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,9.7184,0,1,1,1,1,Instructions/i2.png,1.4,0.85,ssf,1,2024-06-28_16h13.45.416,DCT_v1_online,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,43.2258,0,2,2,2,1,Instructions/i3.png,1.2,0.85,ssf,1,2024-06-28_16h13.45.416,DCT_v1_online,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ssf,1,2024-06-28_16h13.45.416,DCT_v1_online,2021.2.3,Win32,60.24096386,space,10.0392,0.07,2.28,1,,0,,0,0,0,0,10,1,81,incongruent,up,down,incongruent,Stim/Aincon.png,down,0,0.1,180,6,100,congruent,left,right,congruent,Stim/Acon.png,right,-0.1,0,-90,1,2000,stimuli\\,,,,,,,,,,,,,,,
,,,,,,,,,,ssf,1,2024-06-28_16h13.45.416,DCT_v1_online,2021.2.3,Win32,60.24096386,,,0.076,2.274,2,up,1,,0,0,1,1,12,1,111,incongruent,down,up,incongruent,Stim/Aincon.png,up,0,-0.1,0,7,100,incongruent,right,left,congruent,Stim/Aincon.png,left,0.1,0,90,8,2000,stimuli\\,0.9238,,,,,,,,,,,,,,
,,,,,,,,,,ssf,1,2024-06-28_16h13.45.416,DCT_v1_online,2021.2.3,Win32,60.24096386,,,0.053,2.297,3,up,1,,0,0,2,2,0,1,1,congruent,up,up,congruent,Stim/Acon.png,up,0,0.1,0,1,100,congruent,left,right,congruent,Stim/Acon.png,right,-0.1,0,-90,1,2000,stimuli\\,0.8512,,,,,,,,,,,,,,
,,,,,,,,,,ssf,1,2024-06-28_16h13.45.416,DCT_v1_online,2021.2.3,Win32,60.24096386,,,0.327,2.923,4,up,1,left,1,0,3,3,13,1,112,incongruent,down,up,incongruent,Stim/Aincon.png,up,0,-0.1,0,7,1000,incongruent,right,left,congruent,Stim/Aincon.png,left,0.1,0,90,8,2000,stimuli\\,0.802,1.0841,2.173,,,,,,,,,,,,
,,,,,,,,,,ssf,1,2024-06-28_16h13.45.416,DCT_v1_online,2021.2.3,Win32,60.24096386,,,0.216,3.034,5,up,1,right,1,0,4,4,9,1,66,incongruent,up,up,congruent,Stim/Aincon.png,up,0,0.1,0,5,1000,congruent,left,right,congruent,Stim/Acon.png,right,-0.1,0,-90,1,2000,stimuli\\,0.6246,0.9338,2.284,,,,,,,,,,,,
,,,,,,,,,,ssf,1,2024-06-28_16h13.45.416,DCT_v1_online,2021.2.3,Win32,60.24096386,,,0.091,3.159,6,up,1,left,1,0,5,5,5,1,34,congruent,down,up,incongruent,Stim/Acon.png,up,0,-0.1,0,3,1000,incongruent,left,left,congruent,Stim/Aincon.png,left,-0.1,0,90,1,2000,stimuli\\,0.7727,0.8711,2.409,,,,,,,,,,,,
,,,,,,,,,,ssf,1,2024-06-28_16h13.45.416,DCT_v1_online,2021.2.3,Win32,60.24096386,,,0.168,2.182,7,down,1,right,1,0,6,6,14,1,113,incongruent,down,down,congruent,Stim/Aincon.png,down,0,-0.1,180,8,100,incongruent,left,right,congruent,Stim/Aincon.png,right,-0.1,0,-90,1,2000,stimuli\\,0.7448,1.144,2.332,,,,,,,,,,,,
